lat,lon,mean_risk,max_risk,high_ratio,very_high_ratio,count,summary_score
37.634,126.98,53.88905141843971,100.0,0.23049645390070922,0.12632978723404256,2256,37.4
37.634,127.002,48.83670212765958,100.0,0.1347517730496454,0.07402482269503546,2256,32.3
37.634,127.068,47.843306737588655,100.0,0.1422872340425532,0.06648936170212766,2256,31.4
37.616,127.068,47.79073581560284,100.0,0.1453900709219858,0.06693262411347518,2256,31.4
37.616,126.98,47.583466312056736,100.0,0.12810283687943264,0.06693262411347518,2256,31.2
37.616,127.024,46.87836879432624,100.0,0.12367021276595745,0.05806737588652482,2256,30.4
37.598,127.068,46.43594858156028,100.0,0.11879432624113476,0.05540780141843971,2256,30.1
37.598,126.98,45.70580673758865,100.0,0.1196808510638298,0.06471631205673758,2256,30.0
37.598,127.024,46.2593085106383,100.0,0.12234042553191489,0.0549645390070922,2256,30.0
37.634,127.024,46.191578014184394,100.0,0.10726950354609929,0.051418439716312055,2256,29.8
37.616,127.002,45.99574468085106,100.0,0.11081560283687943,0.05585106382978723,2256,29.8
37.616,127.046,46.295168439716306,100.0,0.09929078014184398,0.04831560283687943,2256,29.7
37.634,127.046,46.166578014184395,100.0,0.09929078014184398,0.047872340425531915,2256,29.6
37.598,127.002,45.411613475177305,99.3,0.11569148936170212,0.0549645390070922,2256,29.4
37.598,127.046,45.017952127659576,98.7,0.0700354609929078,0.0425531914893617,2256,28.7
37.58,127.046,44.439982269503545,100.0,0.10195035460992907,0.047872340425531915,2256,28.6
37.58,127.068,43.818528368794325,100.0,0.08865248226950355,0.044326241134751775,2256,28.1
37.58,127.024,42.944060283687946,99.2,0.06914893617021277,0.04210992907801418,2256,27.5
37.58,126.98,41.998138297872345,100.0,0.07845744680851063,0.043882978723404256,2256,27.0
37.58,127.002,42.2719414893617,99.2,0.0726950354609929,0.04210992907801418,2256,27.0
