lat,lon,mean_risk,max_risk,high_ratio,very_high_ratio,count,summary_score,high_percent,very_high_percent
37.634,126.98,60.482047872340424,100.0,0.31183510638297873,0.17553191489361702,1504,43.3,31.2,17.6
37.634,127.002,55.036635638297874,100.0,0.1875,0.10438829787234043,1504,37.2,18.8,10.4
37.616,127.068,55.02154255319149,100.0,0.21343085106382978,0.0990691489361702,1504,37.0,21.3,9.9
37.634,127.068,54.999534574468086,100.0,0.20877659574468085,0.09840425531914894,1504,36.9,20.9,9.8
37.616,126.98,53.969148936170214,100.0,0.17752659574468085,0.09375,1504,36.1,17.8,9.4
37.616,127.024,53.650265957446805,100.0,0.17952127659574468,0.08444148936170212,1504,35.6,18.0,8.4
37.598,127.068,53.508178191489364,100.0,0.17420212765957446,0.08178191489361702,1504,35.4,17.4,8.2
37.598,126.98,52.569813829787236,100.0,0.16821808510638298,0.09375,1504,35.3,16.8,9.4
37.598,127.024,53.12978723404255,100.0,0.17752659574468085,0.08045212765957446,1504,35.1,17.8,8.0
37.634,127.024,52.822074468085106,100.0,0.15625,0.07513297872340426,1504,34.7,15.6,7.5
37.616,127.002,52.53783244680851,100.0,0.1589095744680851,0.08045212765957446,1504,34.7,15.9,8.0
37.598,127.002,52.320079787234036,99.3,0.1675531914893617,0.0797872340425532,1504,34.6,16.8,8.0
37.616,127.046,52.61788563829787,100.0,0.14428191489361702,0.0711436170212766,1504,34.4,14.4,7.1
37.634,127.046,52.56888297872341,100.0,0.14428191489361702,0.07047872340425532,1504,34.4,14.4,7.0
37.58,127.046,51.28849734042553,100.0,0.14893617021276595,0.07047872340425532,1504,33.6,14.9,7.0
37.598,127.046,51.005385638297874,98.7,0.10106382978723404,0.0625,1504,33.1,10.1,6.2
37.58,127.068,50.368284574468085,100.0,0.12898936170212766,0.06515957446808511,1504,32.8,12.9,6.5
37.58,127.024,49.260970744680854,99.2,0.09973404255319149,0.061835106382978726,1504,32.0,10.0,6.2
37.58,126.98,48.51156914893617,100.0,0.11303191489361702,0.06515957446808511,1504,31.7,11.3,6.5
37.58,127.002,48.599800531914894,99.2,0.10438829787234043,0.061835106382978726,1504,31.6,10.4,6.2
